"antaa anteeksi","fi-conj-kaivaa"
"antaa ilmi","fi-conj-kaivaa"
"antaa opetus","fi-conj-kaivaa"
"antaa periksi","fi-conj-kaivaa"
"antaa ylen","fi-conj-kaivaa"
"asettaa kyseenalaiseksi","fi-conj-muistaa"
"asettua taloksi","fi-conj-sanoa"
"aukoa p\u00e4\u00e4t\u00e4\u00e4n","fi-conj-sanoa"
"ehk\u00e4ist\u00e4 ennalta","fi-conj-rohkaista"
"heitt\u00e4\u00e4 huiviin","fi-conj-muistaa"
"heitt\u00e4\u00e4 ulos","fi-conj-muistaa"
"hymyill\u00e4 kuin Hangon keksi","fi-conj-tulla"
"itke\u00e4 maahan kaatunutta maitoa","fi-conj-laskea"
"j\u00e4\u00e4d\u00e4 j\u00e4lkeen","fi-conj-saada"
"j\u00e4\u00e4d\u00e4 kiinni","fi-conj-saada"
"j\u00e4tt\u00e4\u00e4 arpi","fi-conj-muistaa"
"j\u00e4tt\u00e4\u00e4 p\u00f6yd\u00e4lle","fi-conj-muistaa"
"j\u00e4tt\u00e4\u00e4 tyhj\u00e4n p\u00e4\u00e4lle","fi-conj-muistaa"
"j\u00e4tt\u00e4\u00e4 v\u00e4liin","fi-conj-muistaa"
"johtaa harhaan","fi-conj-muistaa"
"juolahtaa mieleen","fi-conj-muistaa"
"k\u00e4\u00e4nty\u00e4 jonkun puoleen","fi-conj-sanoa"
"k\u00e4vell\u00e4 unissaan","fi-conj-tulla"
"k\u00e4yd\u00e4 kierroksilla","fi-conj-k\u0
"k\u00e4yd\u00e4 l\u00e4pi","fi-conj-k\u0
"k\u00e4yd\u00e4 pitk\u00e4kseen","fi-conj-k\u0
"k\u00e4yd\u00e4 vieraissa","fi-conj-k\u0
"k\u00e4ytt\u00e4\u00e4 hyv\u00e4ksi","fi-conj-muistaa",,
"katsoa vierest\u00e4","fi-conj-sanoa"
"kirjautua sis\u00e4\u00e4n","fi-conj-sanoa"
"kirjautua ulos","fi-conj-sanoa"
"l\u00e4hte\u00e4 k\u00e4velem\u00e4\u00e4n","fi-conj-l\u0
"l\u00e4hte\u00e4 matkaan","fi-conj-l\u0
"laittaa nukkumaan","fi-conj-kaivaa"
"langeta loveen","fi-conj-katketa"
"laskea alleen","fi-conj-table"
"laskea yhteen","fi-conj-laskea"
"liipata l\u00e4helt\u00e4","fi-conj-salata"
"ly\u00f6d\u00e4 \u00e4llik\u00e4ll\u00e4","fi-conj-juoda"
"ly\u00f6d\u00e4 laimin","fi-conj-juoda"
"ly\u00f6tt\u00e4yty\u00e4 yhteen","fi-conj-sanoa"
"maksaa samalla mitalla","fi-conj-kaivaa"
"menett\u00e4\u00e4 kasvonsa","fi-conj-muistaa"
"menett\u00e4\u00e4 tajuntansa","fi-conj-muistaa"
"menn\u00e4 kihloihin","fi-conj-tulla"
"menn\u00e4 konkurssiin","fi-conj-tulla"
"menn\u00e4 l\u00e4pi","fi-conj-tulla"
"menn\u00e4 lukkoon","fi-conj-tulla"
"menn\u00e4 m\u00f6nk\u00e4\u00e4n","fi-conj-tulla"
"menn\u00e4 manan majoille","fi-conj-tulla"
"menn\u00e4 myttyyn","fi-conj-tulla"
"menn\u00e4 naimisiin","fi-conj-tulla"
"menn\u00e4 perille","fi-conj-tulla"
"menn\u00e4 pl\u00f6rin\u00e4ksi","fi-conj-tulla"
"menn\u00e4 rikki","fi-conj-tulla"
"menn\u00e4 vipuun","fi-conj-tulla"
"menn\u00e4 virran mukana","fi-conj-tulla"
"murtaa leip\u00e4","fi-conj-huutaa"
"myyd\u00e4 loppuun","fi-conj-saada"
"n\u00e4\u00e4nty\u00e4 n\u00e4lk\u00e4\u00e4n","fi-conj-sanoa"
"n\u00e4hd\u00e4 punaista","fi-conj-n\u0
"nousta arvoon arvaamattomaan","fi-conj-rohkaista"
"nousta esiin","fi-conj-rohkaista"
"nukkua pommiin","fi-conj-sanoa"
"nukkua y\u00f6n yli","fi-conj-sanoa"
"olla eri mielt\u00e4","fi-conj-olla"
"olla kiikarissa","fi-conj-table"
"olla pakko","fi-conj-table"
"olla voimassa","fi-conj-olla"
"olla y\u00f6t\u00e4","fi-conj-olla"
"oppia kantap\u00e4\u00e4n kautta","fi-conj-sallia"
"osoittaa sormella","fi-conj-muistaa"
"ottaa aivoon","fi-conj-muistaa"
"ottaa iisisti","fi-conj-muistaa"
"ottaa k\u00e4ytt\u00f6\u00f6n","fi-conj-muistaa"
"ottaa kantaa","fi-conj-muistaa"
"ottaa osaa","fi-conj-muistaa"
"ottaa parempaan k\u00e4ytt\u00f6\u00f6n","fi-conj-muistaa"
"ottaa vaarin","fi-conj-muistaa"
"p\u00e4\u00e4st\u00e4 jyv\u00e4lle","fi-conj-rohkaista"
"p\u00e4\u00e4st\u00e4 kuin koira ver\u00e4j\u00e4st\u00e4","fi-conj-rohkaista"
"p\u00e4\u00e4st\u00e4 l\u00e4pi","fi-conj-rohkaista"
"p\u00e4l\u00e4ht\u00e4\u00e4 p\u00e4\u00e4h\u00e4n","fi-conj-muistaa"
"p\u00e4lk\u00e4ht\u00e4\u00e4 p\u00e4\u00e4h\u00e4n","fi-conj-muistaa"
"painaa villaisella","fi-conj-kaivaa"
"palaa loppuun","fi-conj-kaivaa"
"palauttaa mieleens\u00e4","fi-conj-muistaa"
"panna jalalla koreasti","fi-conj-tulla"
"panna merkille","fi-conj-tulla"
"panna muistiin","fi-conj-tulla"
"panna pystyyn","fi-conj-tulla"
"panna rautoihin","fi-conj-tulla"
"panna t\u00f6pin\u00e4ksi","fi-conj-tulla"
"panna toimeen","fi-conj-tulla"
"panna tuulemaan","fi-conj-tulla"
"piiskata kuollutta hevosta","fi-conj-salata"
"pit\u00e4\u00e4 huolta omista asioistaan","fi-conj-muistaa"
"pit\u00e4\u00e4 kiinni","fi-conj-muistaa"
"pit\u00e4\u00e4 kovilla","fi-conj-muistaa"
"pit\u00e4\u00e4 silm\u00e4ll\u00e4","fi-conj-muistaa"
"pit\u00e4\u00e4 vett\u00e4","fi-conj-muistaa"
"poimia rusinat pullasta","fi-conj-sallia"
"polttaa siltansa","fi-conj-muistaa"
"puhua l\u00e4pi\u00e4 p\u00e4\u00e4h\u00e4ns\u00e4","fi-conj-sanoa"
"pukea sanoiksi","fi-conj-laskea"
"purra hammasta","fi-conj-tulla"
"pusertaa kuivaksi","fi-conj-huutaa"
"r\u00e4j\u00e4ytt\u00e4\u00e4 pankki","fi-conj-muistaa"
"saada aikaiseksi","fi-conj-saada"
"saada selk\u00e4\u00e4ns\u00e4","fi-conj-saada"
"saada turpaansa","fi-conj-saada"
"sanoa irti","fi-conj-sanoa"
"sanoutua irti","fi-conj-sanoa"
"seota laskuissa","fi-conj-katketa"
"sirotella tuhkaa p\u00e4\u00e4llens\u00e4","fi-conj-tulla"
"sopia yhteen","fi-conj-sallia"
"sulkea pois","fi-conj-laskea"
"sy\u00f6d\u00e4 k\u00e4dest\u00e4","fi-conj-juoda"
"syljeksi\u00e4 kattoon","fi-conj-sallia"
"taittaa peist\u00e4","fi-conj-kaivaa"
"tehd\u00e4 huorin","fi-conj-n\u0
"tehd\u00e4 t\u00f6it\u00e4","fi-conj-n\u0
"tehd\u00e4 ten\u00e4","fi-conj-n\u0
"tehd\u00e4 tiett\u00e4v\u00e4ksi","fi-conj-n\u0
"tehd\u00e4 ty\u00f6t\u00e4","fi-conj-n\u0
"tulla hulluksi","fi-conj-tulla"
"tulla humalaan","fi-conj-tulla"
"tulla juovuksiin","fi-conj-tulla"
"tulla mieleen","fi-conj-tulla"
"tulla perille","fi-conj-tulla"
"tulla toimeen","fi-conj-tulla"
"tulla toisiin aatoksiin","fi-conj-tulla"
"tulla voimaan","fi-conj-tulla"
"tuoda ilmi","fi-conj-juoda"
"v\u00e4\u00e4nt\u00e4\u00e4 rautalangasta","fi-conj-huutaa"
"v\u00e4itt\u00e4\u00e4 vastaan","fi-conj-muistaa"
"vaatia itselleen","fi-conj-sallia"
"valua kuiviin","fi-conj-sanoa"
"vet\u00e4\u00e4 turpaan","fi-conj-muistaa"
"vied\u00e4 sivuun","fi-conj-juoda"
"vied\u00e4 ulos","fi-conj-juoda"

"antaa anteeksi","kaivaa"
"antaa ilmi","kaivaa"
"antaa opetus","kaivaa"
"antaa periksi","kaivaa"
"antaa ylen","kaivaa"
"asettaa kyseenalaiseksi","muistaa"
"asettua taloksi","sanoa"
"aukoa päätään","sanoa"
"ehkäistä ennalta","rohkaista"
"heittää huiviin","muistaa"
"heittää ulos","muistaa"
"hymyillä kuin Hangon keksi","tulla"
"itkeä maahan kaatunutta maitoa","laskea"
"jäädä jälkeen","saada"
"jäädä kiinni","saada"
"jättää arpi","muistaa"
"jättää pöydälle","muistaa"
"jättää tyhjän päälle","muistaa"
"jättää väliin","muistaa"
"johtaa harhaan","muistaa"
"juolahtaa mieleen","muistaa"
"kääntyä jonkun puoleen","sanoa"
"kävellä unissaan","tulla"
"käydä kierroksilla","k\u0
"käydä läpi","k\u0
"käydä pitkäkseen","k\u0
"käydä vieraissa","k\u0
"käyttää hyväksi","muistaa",,
"katsoa vierestä","sanoa"
"kirjautua sisään","sanoa"
"kirjautua ulos","sanoa"
"lähteä kävelemään","l\u0
"lähteä matkaan","l\u0
"laittaa nukkumaan","kaivaa"
"langeta loveen","katketa"
"laskea alleen","table"
"laskea yhteen","laskea"
"liipata läheltä","salata"
"lyödä ällikällä","juoda"
"lyödä laimin","juoda"
"lyöttäytyä yhteen","sanoa"
"maksaa samalla mitalla","kaivaa"
"menettää kasvonsa","muistaa"
"menettää tajuntansa","muistaa"
"mennä kihloihin","tulla"
"mennä konkurssiin","tulla"
"mennä läpi","tulla"
"mennä lukkoon","tulla"
"mennä mönkään","tulla"
"mennä manan majoille","tulla"
"mennä myttyyn","tulla"
"mennä naimisiin","tulla"
"mennä perille","tulla"
"mennä plörinäksi","tulla"
"mennä rikki","tulla"
"mennä vipuun","tulla"
"mennä virran mukana","tulla"
"murtaa leipä","huutaa"
"myydä loppuun","saada"
"nääntyä nälkään","sanoa"
"nähdä punaista","n\u0
"nousta arvoon arvaamattomaan","rohkaista"
"nousta esiin","rohkaista"
"nukkua pommiin","sanoa"
"nukkua yön yli","sanoa"
"olla eri mieltä","olla"
"olla kiikarissa","table"
"olla pakko","table"
"olla voimassa","olla"
"olla yötä","olla"
"oppia kantapään kautta","sallia"
"osoittaa sormella","muistaa"
"ottaa aivoon","muistaa"
"ottaa iisisti","muistaa"
"ottaa käyttöön","muistaa"
"ottaa kantaa","muistaa"
"ottaa osaa","muistaa"
"ottaa parempaan käyttöön","muistaa"
"ottaa vaarin","muistaa"
"päästä jyvälle","rohkaista"
"päästä kuin koira veräjästä","rohkaista"
"päästä läpi","rohkaista"
"pälähtää päähän","muistaa"
"pälkähtää päähän","muistaa"
"painaa villaisella","kaivaa"
"palaa loppuun","kaivaa"
"palauttaa mieleensä","muistaa"
"panna jalalla koreasti","tulla"
"panna merkille","tulla"
"panna muistiin","tulla"
"panna pystyyn","tulla"
"panna rautoihin","tulla"
"panna töpinäksi","tulla"
"panna toimeen","tulla"
"panna tuulemaan","tulla"
"piiskata kuollutta hevosta","salata"
"pitää huolta omista asioistaan","muistaa"
"pitää kiinni","muistaa"
"pitää kovilla","muistaa"
"pitää silmällä","muistaa"
"pitää vettä","muistaa"
"poimia rusinat pullasta","sallia"
"polttaa siltansa","muistaa"
"puhua läpiä päähänsä","sanoa"
"pukea sanoiksi","laskea"
"purra hammasta","tulla"
"pusertaa kuivaksi","huutaa"
"räjäyttää pankki","muistaa"
"saada aikaiseksi","saada"
"saada selkäänsä","saada"
"saada turpaansa","saada"
"sanoa irti","sanoa"
"sanoutua irti","sanoa"
"seota laskuissa","katketa"
"sirotella tuhkaa päällensä","tulla"
"sopia yhteen","sallia"
"sulkea pois","laskea"
"syödä kädestä","juoda"
"syljeksiä kattoon","sallia"
"taittaa peistä","kaivaa"
"tehdä huorin","n\u0
"tehdä töitä","n\u0
"tehdä tenä","n\u0
"tehdä tiettäväksi","n\u0
"tehdä työtä","n\u0
"tulla hulluksi","tulla"
"tulla humalaan","tulla"
"tulla juovuksiin","tulla"
"tulla mieleen","tulla"
"tulla perille","tulla"
"tulla toimeen","tulla"
"tulla toisiin aatoksiin","tulla"
"tulla voimaan","tulla"
"tuoda ilmi","juoda"
"vääntää rautalangasta","huutaa"
"väittää vastaan","muistaa"
"vaatia itselleen","sallia"
"valua kuiviin","sanoa"
"vetää turpaan","muistaa"
"viedä sivuun","juoda"
"viedä ulos","juoda"